access_id,customer_id,access_date,access_time,page_viewed,session_duration,browser_type,device_type,operating_system,referral_source,actions_taken
158,158,6/28/2022,3:41 PM,About,237,Firefox,Tablet,Windows,Search Engine,3
159,159,2/24/2024,6:52 AM,Checkout,8,Edge,Desktop,MacOS,Direct,3
160,160,4/22/2024,6:46 AM,About,13,Edge,Smartphone,iOS,Search Engine,1
161,161,11/18/2023,5:31 PM,Checkout,35,Safari,Desktop,Windows,Direct,3
162,162,5/28/2023,3:07 PM,Checkout,524,Firefox,Desktop,Windows,Direct,2
163,163,5/21/2023,2:06 PM,Product Page,223,Safari,Desktop,MacOS,Social Media,3
164,164,5/10/2023,2:47 PM,Checkout,496,Chrome,Desktop,MacOS,Direct,3
165,165,3/2/2023,6:14 PM,About,155,Edge,Smartphone,MacOS,Direct,3
166,166,6/20/2023,10:34 PM,Checkout,518,Firefox,Smartphone,Android,Email Campaign,2
167,167,8/27/2023,6:48 AM,Checkout,502,Safari,Desktop,iOS,Email Campaign,3
168,168,3/12/2023,9:37 AM,Home Page,440,Safari,Tablet,Android,Social Media,1
169,169,12/16/2023,6:39 AM,Checkout,73,Chrome,Desktop,Android,Email Campaign,2
170,170,5/5/2022,4:56 PM,Home Page,344,Edge,Smartphone,Windows,Social Media,2
171,171,4/9/2023,11:06 AM,Checkout,567,Safari,Tablet,Android,Direct,3
172,172,7/5/2022,7:30 AM,Checkout,578,Safari,Smartphone,iOS,Direct,2
173,173,4/11/2023,2:33 PM,About,201,Safari,Desktop,MacOS,Social Media,1
174,174,3/29/2023,1:26 PM,Product Page,401,Firefox,Desktop,Android,Email Campaign,3
175,175,8/2/2023,10:25 PM,Home Page,39,Chrome,Tablet,Windows,Email Campaign,2
176,176,11/6/2022,4:57 PM,Product Page,110,Chrome,Smartphone,iOS,Social Media,1
177,177,10/20/2023,8:13 AM,Home Page,271,Chrome,Desktop,Windows,Email Campaign,2
178,178,9/19/2022,5:54 PM,Checkout,190,Firefox,Smartphone,Android,Social Media,1
179,179,7/18/2023,8:24 AM,Home Page,126,Edge,Desktop,iOS,Direct,3
180,180,5/17/2022,3:55 AM,Checkout,332,Safari,Tablet,iOS,Social Media,2
181,181,3/4/2023,5:23 PM,Home Page,391,Safari,Tablet,Windows,Direct,2
182,182,12/23/2023,2:05 PM,Product Page,164,Safari,Tablet,iOS,Direct,2
183,183,9/2/2022,12:40 AM,Home Page,334,Chrome,Tablet,Windows,Search Engine,2
184,184,1/12/2023,10:07 AM,About,207,Chrome,Desktop,Android,Email Campaign,3
185,185,5/7/2024,11:54 PM,Product Page,584,Firefox,Smartphone,iOS,Social Media,3
186,186,11/30/2022,7:41 AM,Product Page,503,Edge,Smartphone,Windows,Direct,2
187,187,10/21/2022,6:07 AM,Product Page,237,Edge,Desktop,Windows,Direct,2
188,188,10/24/2022,11:11 AM,Checkout,505,Chrome,Tablet,iOS,Social Media,2
189,189,7/3/2022,3:09 PM,Product Page,232,Chrome,Desktop,MacOS,Email Campaign,2
190,190,2/19/2023,7:35 AM,About,238,Firefox,Tablet,MacOS,Search Engine,3
191,191,11/25/2023,10:34 AM,Home Page,163,Safari,Desktop,Android,Search Engine,3
192,192,4/23/2024,11:27 PM,Product Page,203,Chrome,Smartphone,Windows,Search Engine,2
193,193,5/22/2022,10:27 PM,Home Page,362,Firefox,Desktop,Windows,Email Campaign,3
194,194,12/16/2023,11:29 AM,About,536,Edge,Smartphone,iOS,Email Campaign,2
195,195,7/11/2023,8:44 PM,About,531,Chrome,Smartphone,MacOS,Direct,3
196,196,7/14/2023,1:19 AM,Home Page,178,Safari,Desktop,iOS,Search Engine,3
197,197,11/13/2022,2:58 PM,Checkout,213,Safari,Smartphone,Windows,Direct,1
198,198,9/23/2023,11:29 PM,Home Page,440,Chrome,Desktop,MacOS,Search Engine,2
199,199,1/10/2023,12:38 AM,Checkout,272,Safari,Desktop,Windows,Social Media,1
200,200,4/24/2023,4:46 PM,Product Page,59,Chrome,Tablet,iOS,Social Media,3
201,201,2/6/2024,2:14 AM,About,596,Chrome,Tablet,MacOS,Search Engine,3
202,202,1/29/2024,6:56 PM,Home Page,95,Edge,Tablet,Windows,Search Engine,2
203,203,3/18/2024,6:32 PM,Home Page,500,Safari,Tablet,MacOS,Social Media,3
204,204,11/23/2022,1:27 AM,Checkout,434,Edge,Desktop,Windows,Social Media,1
205,205,5/8/2022,8:58 PM,Checkout,256,Chrome,Desktop,Windows,Social Media,1
206,206,5/15/2023,11:35 AM,About,458,Chrome,Smartphone,Windows,Social Media,1
207,207,4/21/2024,2:11 AM,About,277,Firefox,Desktop,MacOS,Email Campaign,3
208,208,11/10/2022,11:06 PM,About,178,Chrome,Smartphone,Android,Email Campaign,2
209,209,9/30/2023,1:10 PM,Checkout,251,Safari,Desktop,Android,Email Campaign,3
210,210,12/30/2022,6:43 PM,Checkout,483,Edge,Smartphone,Windows,Social Media,2
211,211,3/21/2023,7:42 PM,Product Page,534,Edge,Tablet,iOS,Social Media,1
212,212,2/1/2023,12:15 AM,Product Page,436,Edge,Smartphone,Android,Direct,2
213,213,1/13/2024,9:35 AM,About,260,Firefox,Smartphone,iOS,Email Campaign,2
214,214,12/30/2022,12:26 AM,About,574,Safari,Desktop,iOS,Social Media,3
215,215,6/20/2022,2:34 PM,About,275,Edge,Desktop,Windows,Social Media,3
216,216,7/16/2022,9:50 AM,Product Page,46,Edge,Smartphone,MacOS,Email Campaign,1
217,217,12/5/2022,6:37 PM,Home Page,0,Chrome,Desktop,MacOS,Email Campaign,3
218,218,7/19/2022,9:59 AM,Home Page,55,Safari,Tablet,Android,Email Campaign,1
219,219,10/17/2023,8:16 PM,Home Page,273,Firefox,Smartphone,MacOS,Email Campaign,2
220,220,2/20/2024,9:18 AM,About,227,Chrome,Desktop,iOS,Email Campaign,1
221,221,9/12/2023,1:25 PM,Product Page,273,Safari,Tablet,MacOS,Direct,2
222,222,7/7/2023,8:33 AM,Home Page,105,Edge,Smartphone,Android,Email Campaign,1
223,223,3/21/2023,2:46 PM,Product Page,212,Safari,Tablet,iOS,Search Engine,1
224,224,10/27/2022,10:13 PM,Checkout,576,Safari,Tablet,Android,Direct,1
225,225,5/13/2023,3:56 PM,Home Page,499,Firefox,Desktop,Windows,Direct,2
226,226,2/2/2024,10:49 PM,Product Page,483,Safari,Smartphone,Android,Social Media,3
227,227,12/22/2023,7:48 AM,Checkout,478,Chrome,Desktop,iOS,Social Media,3
228,228,11/19/2022,3:33 AM,About,268,Safari,Desktop,Windows,Search Engine,3
229,229,10/10/2023,3:06 PM,Checkout,129,Edge,Desktop,Windows,Direct,1
230,230,6/16/2022,7:24 AM,About,337,Firefox,Smartphone,iOS,Social Media,2
231,231,10/24/2022,9:24 PM,About,264,Safari,Desktop,iOS,Direct,2
232,232,9/13/2022,3:09 PM,Home Page,77,Chrome,Desktop,MacOS,Social Media,1
233,233,12/6/2023,9:17 AM,About,333,Safari,Desktop,MacOS,Email Campaign,2
234,234,8/31/2022,4:41 PM,Checkout,457,Firefox,Desktop,Android,Email Campaign,1
235,235,12/23/2023,8:27 PM,Home Page,103,Safari,Tablet,MacOS,Social Media,2
236,236,4/15/2024,2:55 PM,Home Page,427,Safari,Smartphone,Android,Direct,3
237,237,2/19/2023,12:38 PM,Checkout,118,Edge,Smartphone,Windows,Direct,3
238,238,8/9/2022,1:09 PM,Home Page,41,Safari,Desktop,Windows,Email Campaign,1
239,239,6/10/2022,11:43 AM,Checkout,74,Edge,Tablet,MacOS,Direct,2
240,240,7/21/2022,4:09 PM,Product Page,540,Edge,Desktop,Windows,Search Engine,1
241,241,10/24/2022,5:26 PM,Checkout,439,Chrome,Smartphone,iOS,Search Engine,2
242,242,12/22/2023,7:59 PM,About,349,Edge,Smartphone,iOS,Search Engine,2
243,243,12/5/2023,12:32 PM,Checkout,556,Safari,Smartphone,Android,Social Media,1
244,244,3/22/2023,1:50 AM,Product Page,548,Firefox,Desktop,iOS,Email Campaign,3
245,245,8/29/2023,9:08 AM,About,590,Firefox,Desktop,Android,Direct,2
246,246,3/5/2023,10:56 AM,Product Page,506,Edge,Tablet,iOS,Email Campaign,1
247,247,4/28/2023,2:38 PM,Home Page,27,Edge,Smartphone,MacOS,Social Media,3
248,248,3/13/2024,7:56 PM,Home Page,423,Edge,Smartphone,iOS,Social Media,1
249,249,9/17/2023,6:48 PM,Checkout,194,Firefox,Smartphone,MacOS,Search Engine,3
250,250,8/11/2022,5:10 PM,Product Page,585,Edge,Smartphone,Android,Search Engine,3
251,251,1/25/2023,5:40 PM,Product Page,316,Edge,Smartphone,Windows,Email Campaign,2
252,252,11/28/2023,3:17 AM,Home Page,339,Firefox,Desktop,MacOS,Direct,2
253,253,4/14/2024,8:51 PM,Home Page,192,Edge,Tablet,iOS,Direct,3
254,254,10/6/2023,8:10 AM,Checkout,109,Firefox,Desktop,iOS,Social Media,2
255,255,1/15/2024,3:10 AM,Product Page,447,Edge,Desktop,Windows,Social Media,2
256,256,11/15/2022,1:23 PM,Checkout,331,Safari,Smartphone,Windows,Email Campaign,1
257,257,6/27/2023,8:02 AM,About,375,Edge,Smartphone,Windows,Email Campaign,3
258,258,11/4/2022,4:16 AM,Home Page,439,Chrome,Smartphone,Android,Search Engine,1
259,259,2/8/2024,5:48 AM,Checkout,202,Firefox,Tablet,iOS,Search Engine,3
260,260,12/31/2022,12:34 AM,Product Page,345,Edge,Tablet,Windows,Social Media,3
261,261,6/26/2023,11:00 AM,Home Page,39,Chrome,Tablet,Android,Search Engine,3
262,262,12/10/2022,10:55 PM,Product Page,428,Firefox,Tablet,Windows,Social Media,3
263,263,10/21/2023,7:47 PM,Product Page,89,Safari,Desktop,Android,Email Campaign,2
264,264,1/1/2024,11:49 PM,Home Page,319,Edge,Desktop,Android,Social Media,2
265,265,3/15/2023,4:17 PM,Home Page,559,Chrome,Desktop,iOS,Direct,1
266,266,5/31/2023,1:31 AM,About,143,Safari,Tablet,Windows,Email Campaign,2
267,267,8/3/2022,9:04 AM,Checkout,311,Chrome,Desktop,Android,Direct,1
268,268,11/2/2023,5:14 PM,Checkout,425,Safari,Smartphone,Windows,Search Engine,3
269,269,4/23/2024,4:06 PM,Home Page,20,Safari,Smartphone,Windows,Social Media,2
270,270,4/20/2024,4:45 PM,Checkout,291,Firefox,Smartphone,iOS,Search Engine,2
271,271,11/27/2022,1:42 PM,Checkout,157,Chrome,Smartphone,iOS,Direct,2
272,272,2/15/2023,12:28 PM,About,308,Safari,Desktop,Android,Social Media,1
273,273,12/13/2022,5:58 PM,Product Page,557,Chrome,Smartphone,MacOS,Email Campaign,3
274,274,8/14/2023,7:49 PM,Product Page,523,Edge,Desktop,iOS,Social Media,2
275,275,7/30/2023,2:49 PM,Home Page,493,Edge,Desktop,Android,Email Campaign,1
276,276,9/17/2023,6:21 AM,Checkout,473,Safari,Tablet,Android,Social Media,3
277,277,4/3/2024,7:32 PM,About,540,Chrome,Desktop,Windows,Social Media,1
278,278,2/17/2024,10:27 PM,Checkout,19,Safari,Desktop,Windows,Search Engine,2
279,279,2/19/2024,7:18 PM,Product Page,410,Chrome,Tablet,Windows,Social Media,1
280,280,7/24/2022,3:38 PM,About,195,Edge,Desktop,iOS,Search Engine,1
281,281,12/9/2022,6:43 PM,Home Page,77,Safari,Desktop,iOS,Email Campaign,1
282,282,7/6/2023,11:52 PM,Home Page,248,Chrome,Smartphone,Windows,Social Media,2
283,283,1/5/2024,10:38 PM,Checkout,77,Firefox,Tablet,iOS,Social Media,2
284,284,4/29/2023,8:14 AM,Home Page,536,Edge,Smartphone,MacOS,Search Engine,3
285,285,10/10/2022,5:44 PM,Home Page,309,Edge,Smartphone,Windows,Direct,2
286,286,6/30/2022,1:36 PM,About,373,Safari,Tablet,iOS,Search Engine,3
287,287,10/28/2023,3:28 PM,About,81,Edge,Tablet,iOS,Email Campaign,2
288,288,10/17/2022,7:58 PM,Checkout,404,Edge,Desktop,Windows,Email Campaign,3
289,289,12/15/2023,4:49 AM,Checkout,244,Firefox,Tablet,MacOS,Search Engine,3
290,290,7/11/2023,6:03 AM,Product Page,179,Safari,Desktop,iOS,Social Media,1
291,291,9/6/2022,11:59 AM,Checkout,132,Safari,Desktop,Android,Direct,2
292,292,11/7/2023,9:35 AM,About,280,Edge,Desktop,MacOS,Direct,2
293,293,1/30/2023,10:47 PM,Product Page,284,Safari,Smartphone,MacOS,Direct,3
294,294,12/10/2023,8:20 PM,About,305,Firefox,Smartphone,MacOS,Direct,3
295,295,5/4/2024,2:50 AM,About,214,Safari,Desktop,Android,Search Engine,3
296,296,5/6/2022,10:19 AM,Checkout,14,Edge,Smartphone,Windows,Email Campaign,3
297,297,6/16/2023,7:40 AM,Home Page,339,Safari,Smartphone,MacOS,Direct,2
298,298,5/1/2022,8:11 AM,Product Page,118,Safari,Tablet,iOS,Social Media,1
299,299,2/14/2023,7:28 AM,About,66,Edge,Smartphone,Android,Direct,2
300,300,6/9/2022,6:43 PM,Checkout,142,Chrome,Desktop,Windows,Direct,1
301,301,12/18/2023,4:59 PM,Home Page,53,Chrome,Smartphone,iOS,Email Campaign,2
302,302,5/3/2023,9:52 PM,Checkout,454,Firefox,Tablet,MacOS,Social Media,1
303,303,10/15/2023,9:06 PM,Home Page,71,Firefox,Smartphone,Windows,Email Campaign,1
304,304,1/19/2023,6:15 AM,Checkout,172,Firefox,Tablet,MacOS,Direct,3
